,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
991,C:\Users\shiwa\pastoral_74\PMC7511295\sections\0_front\1_article-meta\5_contrib-group.xml,"http://orcid.org/0000-0003-4890-1839 Sharafatmandrad Mohsen mohsen.sharafatmandrad@ujiroft.ac.ir Khosravi Mashizi Azam Department of Natural Science, Faculty of Natural Resources, University of Jiroft, 8th km of Jiroft - Bandar Abbas Road, P.O.",AUT,"Khosravi Mashizi Azam Department of Natural Science, Jiroft - Bandar","ORG, ORG","97, 212","148, 227",,,,
994,C:\Users\shiwa\pastoral_74\PMC7641598\sections\0_front\1_article-meta\5_contrib-group.xml,https://orcid.org/0000-0001-8298-9454 Jia Peter Conceptualization Data curation Formal analysis Investigation Methodology Resources Validation Visualization Writing – original draft Writing – review & editing 1 2 https://orcid.org/0000-0002-0944-5095 Caspari Gino Conceptualization Data curation Formal analysis Investigation Methodology Resources Software Validation Visualization Writing – original draft Writing – review & editing 1 3 * https://orcid.org/0000-0002-3664-6001 Betts Alison Conceptualization Formal analysis Funding acquisition Methodology Project administration Resources Supervision Writing – original draft Writing – review & editing 1 Mohamadi Bahaa Data curation Formal analysis Methodology Software 4 Balz Timo Resources Software Supervision 4 Cong Dexin Investigation Resources Supervision 5 Shen Hui Formal analysis Investigation Methodology 6 Meng Qi Data curation Software Visualization 1,AUT,"Balz Timo Resources Software Supervision, Cong Dexin Investigation Resources Supervision, Software","ORG, ORG, ORG","724, 767, 891","764, 813, 899",,,,
996,C:\Users\shiwa\pastoral_74\PMC7773236\sections\0_front\1_article-meta\5_contrib-group.xml,https://orcid.org/0000-0003-2474-0356 de Glanville William A. Conceptualization Data curation Formal analysis Investigation Methodology Writing – original draft Writing – review & editing 1 * Davis Alicia Conceptualization Investigation Methodology Writing – review & editing 2 Allan Kathryn J. Conceptualization Writing – review & editing 1 Buza Joram Supervision Writing – review & editing 3 Claxton John R. Project administration Writing – review & editing 1 Crump John A. Conceptualization Writing – review & editing 4 5 6 7 https://orcid.org/0000-0002-1329-9035 Halliday Jo E. B. Conceptualization Writing – review & editing 1 https://orcid.org/0000-0001-6663-7520 Johnson Paul C. D. Investigation Writing – review & editing 1 Kibona Tito J.,AUT,"1 Buza Joram Supervision Writing, Claxton","ORG, ORG","340, 394","372, 401",,,,
997,C:\Users\shiwa\pastoral_74\PMC7773236\sections\0_front\1_article-meta\5_contrib-group.xml,Investigation Writing – review & editing 3 Mmbaga Blandina T. Supervision Writing – review & editing 6 7 8 Swai Emmanuel S. Conceptualization Investigation Writing – review & editing 9 https://orcid.org/0000-0002-4204-3485 Uzzell Christopher B.,AUT,Mmbaga Blandina T. Supervision Writing,ORG,43,81,,,,
1000,C:\Users\shiwa\pastoral_74\PMC7773237\sections\0_front\1_article-meta\5_contrib-group.xml,https://orcid.org/0000-0003-1696-443X Nelson Erica L. Conceptualization Formal analysis Investigation Methodology Project administration Validation Visualization Writing – original draft Writing – review & editing 1 2 * Khan Saira A. Conceptualization Data curation Formal analysis Investigation Methodology Project administration Validation Visualization Writing – original draft Writing – review & editing 1 3 Thorve Swapna Data curation Formal analysis Methodology Software Validation 4 https://orcid.org/0000-0002-4934-5670 Greenough P. Gregg Conceptualization Methodology Supervision Writing – review & editing 1 2 3,AUT,Khan Saira A. Conceptualization Data,ORG,220,256,,,,
1004,C:\Users\shiwa\pastoral_74\PMC7790420\sections\0_front\1_article-meta\5_contrib-group.xml,https://orcid.org/0000-0001-7993-4241 Ingty Tenzing Conceptualization Data curation Formal analysis Funding acquisition Investigation Methodology Project administration Resources Validation Visualization Writing – original draft Writing – review & editing *,AUT,"Ingty Tenzing Conceptualization Data, Investigation Methodology Project","ORG, ORG","38, 120","74, 153",,,,
1010,C:\Users\shiwa\pastoral_74\PMC7841170\sections\0_front\1_article-meta\5_contrib-group.xml,"http://orcid.org/0000-0002-8021-0862 Bleasdale Madeleine bleasdale@shh.mpg.de 1 2 Richter Kristine K. 1 Janzen Anneke 1 3 http://orcid.org/0000-0001-5001-525X Brown Samantha 1 http://orcid.org/0000-0001-8892-1557 Scott Ashley 4 Zech Jana 1 http://orcid.org/0000-0003-0797-6244 Wilkin Shevan 1 http://orcid.org/0000-0003-3935-8344 Wang Ke 4 http://orcid.org/0000-0002-1017-9150 Schiffels Stephan 4 http://orcid.org/0000-0003-1372-7420 Desideri Jocelyne 5 http://orcid.org/0000-0002-4752-9070 Besse Marie 5 Reinold Jacques 6 Saad Mohamed 7 http://orcid.org/0000-0001-7947-285X Babiker Hiba 8 http://orcid.org/0000-0001-7425-5709 Power Robert C. 1 9 Ndiema Emmanuel 1 10 Ogola Christine 10 Manthi Fredrick K. 10 http://orcid.org/0000-0002-1765-6319 Zahir Muhammad 1 11 http://orcid.org/0000-0003-2522-5727 Petraglia Michael 1 12 13 Trachsel Christian 14 http://orcid.org/0000-0001-8429-3557 Nanni Paolo 14 http://orcid.org/0000-0002-6899-9020 Grossmann Jonas 14 http://orcid.org/0000-0002-3718-1058 Hendy Jessica 1 15 Crowther Alison 1 12 http://orcid.org/0000-0002-4403-7548 Roberts Patrick 1 12 http://orcid.org/0000-0001-6703-7033 Goldstein Steven T. 1 http://orcid.org/0000-0002-7783-4199 Boivin Nicole boivin@shh.mpg.de 1 12 13 16 1 grid.469873.7 0000 0004 4914 1197 Department of Archaeology,  Max Planck Institute for the Science of Human History,  Jena, Germany  2 grid.5685.e 0000 0004 1936 9668 Department of Archaeology,  University of York,  King’s Manor, Exhibition Square, York, YO1 7EP UK  3 grid.411461.7 0000 0001 2315 1184 Department of Anthropology,  University of Tennessee,  Knoxville, TN USA  4 grid.469873.7 0000 0004 4914 1197 Department of Archaeogenetics,  Max Planck Institute for the Science of Human History,  Jena, Germany  5 grid.8591.5 0000 0001 2322 4988 Laboratory of Prehistoric Archaeology and Anthropology, Department F.-A.",AUT,"Schiffels Stephan, Babiker Hiba, Department of Archaeology, Max Planck Institute for the Science of Human History, Department of Archaeology, University of York, Department of Anthropology, University of Tennessee, TN USA, Department of Archaeogenetics, Max Planck Institute for the Science of Human History, Laboratory of Prehistoric Archaeology and Anthropology","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","377, 575, 1269, 1297, 1402, 1430, 1538, 1567, 1604, 1648, 1680, 1785","394, 587, 1294, 1350, 1427, 1448, 1564, 1590, 1610, 1677, 1733, 1839",,,,
1011,C:\Users\shiwa\pastoral_74\PMC7841170\sections\0_front\1_article-meta\5_contrib-group.xml,"Forel for Environmental and Aquatic Sciences,  Université de Genève,  Geneva, Switzerland  6 Section française de la Direction des antiquités du Soudan, Khartoum, Sudan  7 National Corporation for Antiquities and Museums of Sudan, M.Bolheim Bioarchaeology Laboratory, Khartoum, Sudan  8 grid.469873.7 0000 0004 4914 1197 Department of Linguistic and Cultural Evolution,  Max Planck Institute for the Science of Human History,  Jena, Germany  9 grid.5252.0 0000 0004 1936 973X Institute for Pre-and Protohistoric Archaeology and Archaeology of the Roman Provinces,  Ludwig-Maximilians-University Munich,  Munich, Germany  10 grid.425505.3 0000 0001 1457 1451 Department of Earth Sciences,  National Museums of Kenya,  Nairobi, Kenya  11 grid.440530.6 0000 0004 0609 1900 Department of Archaeology,  Hazara University,  Mansehra, Pakistan  12 grid.1003.2 0000 0000 9320 7537 School of Social Science,  The University of Queensland,  Brisbane, QLD Australia  13 grid.1214.6 0000 0000 8716 3312 Department of Anthropology, National Museum of Natural History,  Smithsonian Institution,  Washington, DA USA  14 grid.7400.3 0000 0004 1937 0650 Functional Genomics Center,  University of Zurich/ETH,  Zurich, Switzerland  15 grid.5685.e 0000 0004 1936 9668 BioArCh, Department of Archaeology,  University of York,  York, UK  16 grid.22072.35 0000 0004 1936 7697 Department of Anthropology and Archaeology,  University of Calgary,  Calgary, AB Canada",AUT,"Environmental and Aquatic Sciences, Université de Genève, Soudan, M.Bolheim Bioarchaeology Laboratory, Department of Linguistic and Cultural Evolution, Max Planck Institute for the Science of Human History, 973X Institute for Pre-and Protohistoric Archaeology, Ludwig-Maximilians-University Munich, Department of Earth Sciences, Department of Archaeology, Hazara University, School of Social Science, The University of Queensland, QLD Australia, National Museum of Natural History, Smithsonian Institution, University of Zurich/ETH, Department of Archaeology, University of York, Department of Anthropology, Archaeology, University of Calgary, AB Canada","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","10, 47, 145, 231, 321, 371, 471, 565, 658, 770, 798, 873, 900, 941, 1019, 1056, 1166, 1258, 1286, 1354, 1385, 1399, 1432","44, 67, 151, 266, 368, 424, 523, 601, 686, 795, 815, 897, 928, 954, 1053, 1079, 1190, 1283, 1304, 1380, 1396, 1420, 1441",,,,
1013,C:\Users\shiwa\pastoral_74\PMC8158971\sections\0_front\1_article-meta\5_contrib-group.xml,https://orcid.org/0000-0002-5869-379X Duboz Priscilla Conceptualization Data curation Formal analysis Funding acquisition Investigation Methodology Project administration Resources Supervision Validation Writing – original draft Writing – review & editing 1 ‡ * Macia Enguerran Conceptualization Data curation Formal analysis Funding acquisition Investigation Methodology Project administration Resources Supervision Validation Visualization Writing – original draft Writing – review & editing 1 ‡ Diallo Amadou H. Investigation Project administration Supervision 1 Cohen Emmanuel Investigation Methodology 2 Bergouignan Audrey Writing – review & editing 3 4 Seck Sidy M. Conceptualization Investigation 1 5,AUT,"Duboz Priscilla Conceptualization Data, Investigation Methodology Project, Investigation Methodology Project, Resources Supervision Validation Visualization Writing, Diallo Amadou H. Investigation Project","ORG, ORG, ORG, ORG, ORG","38, 122, 346, 395, 498","76, 155, 379, 449, 536",,,,
1014,C:\Users\shiwa\pastoral_74\PMC8275782\sections\0_front\1_article-meta\5_contrib-group.xml,"Taylor William william.taylor@colorado.edu 1 2 Hart Isaac 3 Pan Caleb 4 Bayarsaikhan Jamsranjav 1 5 Murdoch James 6 Caspari Gino 7 8 Klinge Michael 9 Pearson Kristen 10 Bikhumar Umirbyek 11 Shnaider Svetlana 12 Abdykanova Aida 13 Bittner Peter 14 Zahir Muhammad 1 15 Jarman Nicholas 16 Williams Mark 17 18 Pettigrew Devin 2 Petraglia Michael 1 19 20 21 http://orcid.org/0000-0001-8500-821X Lee Craig 22 Dixon E. James 17 Boivin Nicole 1 19 20 1 grid.469873.7 0000 0004 4914 1197 Department of Archaeology,  Max Planck Institute for the Science of Human History,  Jena, Germany  2 grid.266190.a 0000000096214564 Department of Anthropology,  University of Colorado-Boulder,  Boulder, CO USA  3 grid.223827.e 0000 0001 2193 0096 Department of Anthropology,  University of Utah,  Salt Lake City, UT USA  4 Innov8.ag Solutions, Walla Walla, WA USA  5 grid.511809.4 0000 0000 9704 9716 National Museum of Mongolia,  Ulaanbaatar, Mongolia  6 grid.59062.38 0000 0004 1936 7689 Wildlife and Fisheries Biology Program, Rubenstein School of Environment and Natural Resources,  University of Vermont,  Burlington, VT USA  7 grid.5734.5 0000 0001 0726 5157 Institute for Archaeological Science,  University of Bern,  Bern, Switzerland  8 grid.1013.3 0000 0004 1936 834X Department of Archaeology,  Sydney University,  Sydney, Australia  9 grid.7450.6 0000 0001 2364 4210 Institute of Geography,  University of Göttingen,  Goldschmidtstr.",AUT,"Pan Caleb, Abdykanova Aida, Max Planck Institute for the Science of Human History, grid.266190.a 0000000096214564 Department of Anthropology, University of Colorado, CO USA, Department of Anthropology, University of Utah, Innov8.ag Solutions, Walla Walla, National Museum of Mongolia, University of Vermont, VT USA, 0726 5157, Institute for Archaeological Science, University of Bern, Bern, 834X Department of Archaeology, Sydney University, University of Göttingen","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","60, 211, 507, 580, 640, 682, 726, 755, 802, 823, 880, 1066, 1102, 1134, 1144, 1183, 1204, 1252, 1285, 1383","69, 226, 560, 637, 662, 688, 752, 773, 821, 834, 907, 1087, 1108, 1143, 1180, 1201, 1208, 1282, 1302, 1406",,,,
1015,C:\Users\shiwa\pastoral_74\PMC8275782\sections\0_front\1_article-meta\5_contrib-group.xml,"5, 37077 Göttingen, Germany  10 grid.38142.3c 000000041936754X Harvard University,  Cambridge, MA USA  11 Preservation Management Office for the Mongolian Altai Rock Art Complex, Bayan-Ulgii, Mongolia  12 grid.465385.9 0000 0001 0737 8952 ArchaeoZOOlogy in Siberia and Central Asia - ZooSCAn, CNRS – Institute of Archaeology and Ethnography SB RAS International Research Laboratory, IRL,  2013 Novosibirsk, Russia  13 grid.182810.2 0000 0001 0445 805X American University of Central Asia,  Naryn, Kyrgyzstan  14 grid.47840.3f 0000 0001 2181 7878 University of California-Berkeley,  Berkeley, CA USA  15 grid.440530.6 0000 0004 0609 1900 Department of Archaeology,  Hazara University,  Mansehra, Pakistan  16 grid.454846.f 0000 0001 2331 3972 Valles Caldera National Preserve, U.S. National Park Service,  Jemez Springs, NM USA  17 grid.266832.b 0000 0001 2188 8502 Department of Anthropology,  University of New Mexico,  Albuquerque, NM USA  18 SWCA Environmental Consultants, Albuquerque, NM USA  19 grid.1003.2 0000 0000 9320 7537 School of Social Science,  University of Queensland,  Brisbane, Australia  20 grid.22072.35 0000 0004 1936 7697 Department of Anthropology and Archaeology,  University of Calgary,  Calgary, Canada  21 grid.453560.1 0000 0001 2192 7591 Department of Anthropology,  National Museum of Natural History, Smithsonian Institution,  Washington, D.C USA  22 grid.266190.a 0000000096214564 Institute of Arctic and Alpine Research (INSTAAR),  University of Colorado at Boulder,  Boulder, CO USA",AUT,"Harvard University, MA USA, Preservation Management Office, Bayan-Ulgii, CNRS – Institute of Archaeology and, Ethnography SB, IRL, 805X American University of Central Asia, University of California-Berkeley, Berkeley, Department of Archaeology, Hazara University, Valles Caldera National Preserve, U.S. National Park Service, NM USA, Department of Anthropology, University of New Mexico, Albuquerque, NM USA, SWCA Environmental Consultants, NM USA, School of Social Science, University of Queensland, Department of Anthropology, Archaeology, University of Calgary, Department of Anthropology, National Museum of Natural History, Smithsonian Institution, grid.266190.a 0000000096214564 Institute of Arctic, Alpine Research, INSTAAR, University of Colorado, CO USA","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","63, 95, 106, 179, 293, 329, 383, 447, 546, 582, 637, 665, 742, 776, 820, 865, 894, 921, 934, 945, 990, 1033, 1060, 1145, 1176, 1190, 1268, 1297, 1333, 1383, 1438, 1455, 1466, 1511","81, 101, 136, 190, 328, 343, 386, 487, 579, 590, 662, 682, 774, 802, 826, 891, 918, 932, 940, 975, 996, 1057, 1084, 1171, 1187, 1211, 1294, 1331, 1356, 1433, 1453, 1462, 1488, 1517",,,,
1016,C:\Users\shiwa\pastoral_74\PMC8287776\sections\0_front\1_article-meta\5_contrib-group.xml,"Seligsohn Dinah dinah.seligsohn@sva.se 1 2 Crestani Chiara 3 Forde Taya L. 3 Chenais Erika 4 Zadoks Ruth N. 3 5 1 grid.419788.b 0000 0001 2166 9211 Department of Animal Health and Antimicrobial Strategies,  National Veterinary Institute,  SE- 75189 Uppsala, Sweden  2 grid.6341.0 0000 0000 8578 2742 Department of Clinical Sciences,  Swedish University of Agricultural Sciences,  Uppsala, Sweden  3 grid.8756.c 0000 0001 2193 314X Institute of Biodiversity, Animal Health and Comparative Medicine,  University of Glasgow,  Glasgow, United Kingdom  4 grid.419788.b 0000 0001 2166 9211 Department of Disease Control and Epidemiology,  National Veterinary Institute,  SE-75189 Uppsala, Sweden  5 grid.1013.3 0000 0004 1936 834X Sydney School of Veterinary Science,  University of Sydney,  Sydney, Australia",AUT,"Department of Animal Health, Antimicrobial Strategies, National Veterinary Institute, Department of Clinical Sciences, Swedish University of Agricultural Sciences, 314X Institute of Biodiversity, University of Glasgow, Department of Disease Control and Epidemiology, National Veterinary Institute, 834X Sydney School of Veterinary Science, University of Sydney","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","148, 180, 207, 300, 334, 426, 499, 584, 633, 720, 763","175, 204, 236, 331, 377, 456, 520, 630, 662, 760, 783",,,,
1017,C:\Users\shiwa\pastoral_74\PMC8419441\sections\1_front\1_article-meta\4_contrib-group.xml,Wells Jonathan C. K.   1     *   Pomeroy Emma   2   Stock Jay T.   3     4,AUT,Wells Jonathan C. K.   ,ORG,0,23,,,,
1018,C:\Users\shiwa\pastoral_74\PMC8560853\sections\1_front\1_article-meta\5_contrib-group.xml,Serranito Bruno 1 2 Cavalazzi Marco 3 Vidal Pablo 4 Taurisson-Mouret Dominique 3 5 Ciani Elena 6 Bal Marie 3 Rouvellac Eric 3 Servin Bertrand 7 Moreno-Romieux Carole 7 Tosser-Klopp Gwenola 7 Hall Stephen J. G. 8 Lenstra Johannes A.,AUT,Cavalazzi,ORG,20,29,,,,
1019,C:\Users\shiwa\pastoral_74\PMC8560853\sections\1_front\1_article-meta\5_contrib-group.xml,"9 Pompanon François 10 Benjelloun Badr 10 11 Da Silva Anne anne.blondeau@unilim.fr 1 1 grid.9966.0 0000 0001 2165 4861 INRA, EA7500, USC1061 GAMAA,  Univ.",AUT,USC1061 GAMAA,ORG,133,146,,,,
1021,C:\Users\shiwa\pastoral_74\PMC8560853\sections\1_front\1_article-meta\5_contrib-group.xml,"Limoges,  Limoges, France  4 grid.440831.a 0000 0004 1804 6963 Universidad Catolica de Valencia,  Valencia, Spain  5 grid.121334.6 0000 0001 2097 0141 CNRS, UMR 5815, Dynamiques du droit,  Université de Montpellier,  Montpellier, France  6 grid.7644.1 0000 0001 0120 3326 Department of Biosciences, Biotechnologies and Biopharmaceutics,  University of Bari,  Bari, Italy  7 grid.508721.9 GenPhySE, INRAE, ENVT,  Université de Toulouse,  31326 Castanet-Tolosan, France  8 grid.16697.3f 0000 0001 0671 1127 Estonian University of Life Sciences,  Kreutzwaldi 5, 51014 Tartu, Estonia  9 grid.5477.1 0000000120346234 Faculty of Veterinary Medicine,  Utrecht University,  Yalelaan 104, 3584 CM Utrecht, The Netherlands  10 grid.462909.0 0000 0004 0609 8934 Univ.",AUT,"Biopharmaceutics, University of Bari, Université de Toulouse, Estonian University of Life Sciences, Utrecht University, CM","ORG, ORG, ORG, ORG, ORG, ORG","319, 338, 412, 505, 645, 685","335, 356, 434, 541, 663, 687",,,,
1023,C:\Users\shiwa\pastoral_74\PMC8560853\sections\1_front\1_article-meta\5_contrib-group.xml,"Savoie Mont Blanc, CNRS, LECA,  F-38000 Grenoble, France  11 National Institute of Agronomic Research (INRA), Regional Centre of Agronomic Research, Beni-Mellal, Morocco",AUT,"LECA, National Institute of Agronomic Research","ORG, ORG","25, 61","29, 101",,,,
1024,C:\Users\shiwa\pastoral_74\PMC8585949\sections\1_front\1_article-meta\5_contrib-group.xml,"Rahimi Jaber Jaber.rahimi@kit.edu 1 Haas Edwin 1 Grote Rüdiger 1 Kraus David 1 Smerald Andrew 1 Laux Patrick 1 Goopy John 2 Butterbach-Bahl Klaus 1 2 1 grid.7892.4 0000 0001 0075 5874 Institute of Meteorology and Climate Research, Atmospheric Environmental Research (IMK-IFU),  Karlsruhe Institute of Technology (KIT),  Garmisch-Partenkirchen, Germany  2 grid.419369.0 0000 0000 9378 4481 Mazingira Centre,  International Livestock Research Institute (ILRI),  Nairobi, Kenya",AUT,"Institute of Meteorology and Climate Research, Atmospheric Environmental Research, IMK-IFU, Karlsruhe Institute of Technology, KIT, Garmisch-Partenkirchen, International Livestock Research Institute","ORG, ORG, ORG, ORG, ORG, ORG, ORG","184, 231, 267, 278, 313, 320, 408","229, 265, 274, 311, 316, 342, 450",,,,
1026,C:\Users\shiwa\pastoral_74\PMC8752612\sections\1_front\1_article-meta\5_contrib-group.xml,"2 Penny Dan 3 Shah Mohammad Ajmal 2 Betts Alison 1 1 grid.1013.3 0000 0004 1936 834X Department of Archaeology,  University of Sydney,  Sydney, NSW 2006 Australia  2 grid.412997.0 0000 0001 2294 5433 Centre of Central Asian Studies,  University of Kashmir,  Srinagar, Jammu and Kashmir India  3 grid.1013.3 0000 0004 1936 834X School of Geosciences,  University of Sydney,  Sydney, NSW 2006 Australia",AUT,"834X Department of Archaeology, University of Sydney, NSW 2006, University of Kashmir, School of Geosciences, University of Sydney, NSW 2006","ORG, ORG, ORG, ORG, ORG, ORG, ORG","80, 113, 144, 234, 327, 351, 382","110, 133, 152, 255, 348, 371, 390",,,,
1027,C:\Users\shiwa\pastoral_74\PMC8874271\sections\1_front\1_article-meta\4_contrib-group.xml,Bellini Ginevra   1     2     *   Erfmeier Alexandra   1     2   Schrieber Karin   1,AUT,Bellini Ginevra,ORG,0,15,,,,
1028,C:\Users\shiwa\pastoral_74\PMC8897645\sections\1_front\1_article-meta\6_contrib-group.xml,"Habte Matiwos matiwosh@du.edu.et a b ⁎ Eshetu Mitiku c Maryo Melesse d Andualem Dereje b Legesse Abiyot e a Africa Center of Excellence for Climate Smart Agriculture and Biodiversity Conservation, Haramaya University, P.O.Box 138 Dire Dawa, Ethiopia b Department of Animal and Range Sciences, Dilla University, P.O.Box 419 Dilla, Ethiopia c School of Animal and Range Sciences, Haramaya University, P.O.Box 138 Dire Dawa, Ethiopia d Ethiopian Biodiversity Institute, Addis Ababa, Ethiopia e Department of Geography and Environmental studies, Dilla University, P.O.Box 419 Dilla, Ethiopia",AUT,"Haramaya University, Department of Animal and Range Sciences, Dilla University, Range Sciences, Haramaya University, Ethiopian Biodiversity Institute, Department of Geography and Environmental, Dilla University","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","197, 252, 293, 362, 378, 433, 491, 542","216, 291, 309, 376, 397, 465, 532, 558",,,,
1030,C:\Users\shiwa\pastoral_74\PMC9094512\sections\1_front\1_article-meta\5_contrib-group.xml,https://orcid.org/0000-0003-4148-4016 Ventresca Miller Alicia R. Conceptualization Data curation Formal analysis Investigation Visualization Writing – original draft Writing – review & editing   1     2     3   * https://orcid.org/0000-0003-0797-6244 Wilkin Shevan Formal analysis Investigation Validation Writing – original draft Writing – review & editing   3     4   Hendy Jessica Investigation Validation Writing – review & editing   5     6   Turbat Tsagaan Funding acquisition Investigation Writing – review & editing   7     8   * Batsukh Dunburee Writing – review & editing   9   Bayarkhuu Noost Writing – review & editing   10   Giscard Pierre-Henri Funding acquisition Investigation Writing – review & editing   11   https://orcid.org/0000-0002-1813-2680 Bemmann Jan Funding acquisition Investigation Writing – review & editing   12   https://orcid.org/0000-0001-9536-3856 Bayarsaikhan Jamsranjav Investigation Writing – review & editing   3     13   Miller Bryan K. Investigation Writing – review & editing   2     3     14   Clark Julia Writing – review & editing   15     16     17   Roberts Patrick Writing – review & editing   3     18   Boivin Nicole Conceptualization Funding acquisition Methodology Supervision Writing – original draft Writing – review & editing   3     18     19     20,AUT,"Hendy Jessica Investigation Validation Writing, Turbat Tsagaan Funding, Miller, Clark Julia Writing","ORG, ORG, ORG, ORG","370, 448, 961, 1037","416, 470, 967, 1056",,,,
1031,C:\Users\shiwa\pastoral_74\PMC9374472\sections\1_front\1_article-meta\5_contrib-group.xml,"https://orcid.org/0000-0003-2817-2210 Köhler-Rollefson Ilse   Policy Department, League for Pastoral Peoples ,  Ober-Ramstadt 64372 ,  Germany",AUT,"Köhler-Rollefson Ilse, Policy Department","ORG, ORG","38, 62","59, 79",,,,
1032,C:\Users\shiwa\pastoral_74\PMC9388360\sections\1_front\1_article-meta\5_contrib-group.xml,"Inaba Yuta 1 Iwamoto Sadahiko 2 Nakayama Kazuhiro knakayama@edu.k.u-tokyo.ac.jp 1 1 grid.26999.3d 0000 0001 2151 536X Laboratory of Evolutionary Anthropology, Department of Integrated Biosciences, Graduate School of Frontier Sciences,  The University of Tokyo,  5-1-5 Kashiwanoha, Kashiwa, Chiba, 277-8562 Japan  2 grid.410804.9 0000000123090000 Division of Human Genetics, Center for Molecular Medicine,  Jichi Medical University,  3311-1 Yakushiji, Shimotsuke, Tochigi, 329-0498 Japan",AUT,"536X Laboratory, Department of Integrated Biosciences, Graduate School of Frontier Sciences, The University of Tokyo, Chiba, Division of Human Genetics, Center for Molecular Medicine, Jichi Medical University, Shimotsuke","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","113, 159, 197, 236, 290, 346, 374, 406, 451","128, 195, 233, 259, 295, 372, 403, 430, 461",,,,
1033,C:\Users\shiwa\pastoral_74\PMC9465664\sections\1_front\1_article-meta\5_contrib-group.xml,"http://orcid.org/0000-0002-5355-7430 Kena Doyo doyo.kana33@gmail.com College of Agriculture and Natural Resource, Jinka University, Jinka, Ethiopia",AUT,Jinka University,ORG,114,130,,,,
1034,C:\Users\shiwa\pastoral_74\PMC9547508\sections\1_front\1_article-meta\6_contrib-group.xml,"https://orcid.org/0000-0002-8909-620X McQuillan Michael A   Department of Genetics, University of Pennsylvania ,  Philadelphia, PA Ranciaro Alessia   Department of Genetics, University of Pennsylvania ,  Philadelphia, PA Hansen Matthew E B   Department of Genetics, University of Pennsylvania ,  Philadelphia, PA Fan Shaohua   Human Phenome Institute, School of Life Sciences, Fudan University ,  Shanghai ,  China Beggs William   Department of Genetics, University of Pennsylvania ,  Philadelphia, PA Belay Gurja   Department of Microbial Cellular and Molecular Biology, Addis Ababa University ,  Addis Ababa ,  Ethiopia Woldemeskel Dawit   Department of Biology, Addis Ababa University ,  Addis Ababa ,  Ethiopia Tishkoff Sarah A   Department of Genetics, University of Pennsylvania ,  Philadelphia, PA",AUT,"Department of Genetics, University of Pennsylvania, Department of Genetics, University of Pennsylvania, Department of Genetics, University of Pennsylvania, Human Phenome Institute, School of Life Sciences, Fudan University, Department of Genetics, University of Pennsylvania, Department of Microbial Cellular and Molecular Biology, Addis Ababa University, Department of Biology, Department of Genetics, University of Pennsylvania","ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG, ORG","60, 84, 150, 174, 242, 266, 327, 352, 377, 431, 455, 516, 572, 642, 734, 758","82, 110, 172, 200, 264, 292, 350, 375, 393, 453, 481, 570, 594, 663, 756, 784",,,,
